couponcode,status,
1512vwft60,0,
1512khql60,0,
1512rsak60,0,
1512sfbr60,0,
1512eyyr60,0,
1512zope60,0,
1512rtmj60,0,
1512hctd60,0,
1512vfpr60,0,
1512rotl60,0,
1512njgw60,0,
1512hxnf60,0,
1512jyft60,0,
1512pthz60,0,
1512qubz60,0,
1512tqic60,0,
1512pvit60,0,
1512agvi60,0,
1512nryl60,0,
1512rvlh60,0,
1512pczp60,0,
1512mzyj60,0,
1512zjfw60,0,
1512trgj60,0,
1512xuwa60,0,
1512udig60,0,
1512ftye60,0,
1512choi60,0,
1512uddv60,0,
1512yqyq60,0,
1512gnfv60,0,
1512skom60,0,
1512iejh60,0,
1512kxsq60,0,
1512wrdp60,0,
1512vgbf60,0,
1512otur60,0,
1512sfaa60,0,
1512frbz60,0,
1512pwre60,0,
1512xxfa60,0,
1512xpef60,0,
1512gjmt60,0,
1512fkvy60,0,
1512amka60,0,
1512gbqs60,0,
1512cqhe60,0,
1512zcrt60,0,
1512ounw60,0,
1512bfsp60,0,
1512vanz60,0,
1512mlpj60,0,
1512fuui60,0,
1512swko60,0,
1512bxnk60,0,
1512jved60,0,
1512fljv60,0,
1512txvf60,0,
1512gqwk60,0,
1512kdmb60,0,
1512rwsm60,0,
1512mqhw60,0,
1512yuti60,0,
1512ugcj60,0,
1512hnyk60,0,
1512qfgz60,0,
1512mwmr60,0,
1512uqog60,0,
1512fxqq60,0,
1512fmzd60,0,
1512jtdq60,0,
1512dzyo60,0,
1512teim60,0,
1512tebt60,0,
1512kods60,0,
1512kzut60,0,
1512iavh60,0,
1512iuab60,0,
1512ilzk60,0,
1512wvbn60,0,
1512hbbr60,0,
1512swbq60,0,
1512etad60,0,
1512oyxb60,0,
1512csju60,0,
1512aszy60,0,
1512qxvm60,0,
1512keeb60,0,
1512qmoy60,0,
1512yfqm60,0,
1512itcp60,0,
1512uwie60,0,
1512vvmz60,0,
1512xxcv60,0,
1512eian60,0,
1512zbvc60,0,
1512ensx60,0,
1512vnin60,0,
