couponcode,status,
1512step60,0,
1512krhe60,0,
1512mmkb60,0,
1512yptd60,0,
1512mswv60,0,
1512eket60,0,
1512uwbk60,0,
1512jyqm60,0,
1512gtpk60,0,
1512yonr60,0,
1512szmy60,0,
1512ldwo60,0,
1512qxij60,0,
1512sfsb60,0,
1512pbme60,0,
1512wcbg60,0,
1512idmw60,0,
1512cvdw60,0,
1512tnmr60,0,
1512hncw60,0,
1512cxdn60,0,
1512xmok60,0,
1512zuwx60,0,
1512ecal60,0,
1512sqxm60,0,
1512sssa60,0,
1512kjvu60,0,
1512uyvz60,0,
1512urbe60,0,
1512flww60,0,
1512eici60,0,
1512dgph60,0,
1512ksto60,0,
1512vdpt60,0,
1512oohh60,0,
1512jsxq60,0,
1512qsqc60,0,
1512aloo60,0,
1512ghil60,0,
1512yeau60,0,
1512njrq60,0,
1512vqlp60,0,
1512bxtn60,0,
1512zjwb60,0,
1512kuyg60,0,
1512mnoc60,0,
1512fgos60,0,
1512irfc60,0,
1512lbbz60,0,
1512obqu60,0,
1512nnck60,0,
1512buoh60,0,
1512cxvl60,0,
1512leyk60,0,
1512lujj60,0,
1512ccvd60,0,
1512ftnd60,0,
1512vsgg60,0,
1512ddpc60,0,
1512jihl60,0,
1512bydp60,0,
1512kccv60,0,
1512ogig60,0,
1512fyvx60,0,
1512tepy60,0,
1512dlwn60,0,
1512knsr60,0,
1512dvlc60,0,
1512uofw60,0,
1512ptnb60,0,
1512kyjf60,0,
1512ktmj60,0,
1512xouy60,0,
1512lddr60,0,
1512xnkg60,0,
1512qbkq60,0,
1512xcds60,0,
1512tueo60,0,
1512kaly60,0,
1512qeog60,0,
1512mpqn60,0,
1512mxjr60,0,
1512gqzn60,0,
1512uwox60,0,
1512uzhx60,0,
1512nfej60,0,
1512rovy60,0,
1512bqyb60,0,
1512vhtt60,0,
1512fgvz60,0,
1512bgwf60,0,
1512qype60,0,
1512rtam60,0,
1512jedk60,0,
1512nigs60,0,
1512rljw60,0,
1512hvco60,0,
1512mdbd60,0,
1512ykgz60,0,
1512rsoq60,0,
1512mdiz60,0,
1512fqfd60,0,
1512uyub60,0,
1512sdxj60,0,
1512mxzt60,0,
1512vpad60,0,
1512fjed60,0,
1512nxpk60,0,
1512sogc60,0,
1512bquy60,0,
1512qgiv60,0,
1512xlis60,0,
1512iyrv60,0,
1512xpqv60,0,
1512foil60,0,
1512hmqc60,0,
1512gdkg60,0,
1512jfnx60,0,
1512dfud60,0,
1512azah60,0,
1512sunp60,0,
1512jozq60,0,
1512rlhx60,0,
1512ozjl60,0,
1512fgag60,0,
1512tikk60,0,
1512rjiy60,0,
1512xqsx60,0,
1512gzgj60,0,
1512zjtk60,0,
